age,tenure_months,monthly_usage_hours,purchase_amount,customer_service_calls,late_payments,region,contract_type,autopay,churn
34,44,47.5,238.46,2,3,South,Month-to-month,Yes,0
68,42,39.2,325.82,4,0,North,Month-to-month,Yes,1
59,51,29.1,57.65,1,3,East,Month-to-month,Yes,1
62,32,29.8,171.95,5,1,North,Two year,Yes,1
72,27,43.8,205.57,2,2,South,Month-to-month,Yes,1
32,26,7.1,275.78,1,1,South,Month-to-month,Yes,1
23,12,22.6,148.92,3,0,East,Month-to-month,Yes,1
51,61,13.8,20.8,2,0,East,Month-to-month,No,1
36,24,60.3,250.23,4,2,East,Two year,Yes,0
43,21,46.0,303.1,2,2,West,Month-to-month,Yes,1
31,70,1.0,176.33,0,2,North,Two year,Yes,0
41,37,7.8,227.55,5,2,South,Month-to-month,Yes,1
40,45,29.9,135.18,3,1,North,Month-to-month,Yes,0
38,18,24.4,96.19,3,1,North,Two year,Yes,1
61,20,10.8,292.77,3,0,North,Month-to-month,Yes,0
52,53,63.1,225.69,1,0,East,Month-to-month,No,0
45,33,37.0,236.49,2,1,West,Two year,Yes,1
24,11,39.6,342.72,5,0,West,Month-to-month,Yes,0
51,61,20.9,74.24,3,1,East,Month-to-month,Yes,1
28,29,43.6,127.04,1,1,West,Two year,Yes,0
36,49,25.9,201.58,4,0,North,Month-to-month,Yes,1
42,25,27.5,125.75,4,3,West,Month-to-month,Yes,1
26,41,41.8,267.23,6,0,West,Month-to-month,Yes,1
40,56,5.9,165.32,5,1,North,Month-to-month,Yes,1
33,64,57.6,80.78,5,1,South,Month-to-month,No,0
67,15,34.9,191.91,3,1,West,One year,Yes,1
67,49,52.5,202.89,1,0,South,Month-to-month,Yes,0
18,66,14.8,283.14,4,0,West,One year,Yes,0
52,47,17.2,226.28,4,1,West,Month-to-month,Yes,1
55,11,13.4,233.42,0,1,South,Month-to-month,No,1
39,14,36.0,218.63,0,1,North,Month-to-month,Yes,1
45,15,33.1,165.24,7,1,South,One year,Yes,1
63,8,24.6,109.8,3,0,North,Month-to-month,No,1
39,55,15.8,215.33,1,0,South,Month-to-month,Yes,0
21,70,11.7,150.02,2,0,East,Two year,Yes,0
39,38,31.2,362.43,3,1,South,One year,Yes,0
32,44,24.6,325.93,2,2,North,Month-to-month,No,1
40,56,21.0,251.45,9,1,South,Two year,Yes,1
31,30,56.8,224.74,3,0,East,Month-to-month,No,1
26,35,30.7,175.76,3,0,North,Month-to-month,Yes,1
75,43,52.3,52.58,2,0,North,Month-to-month,No,1
25,22,23.5,162.3,3,0,West,Month-to-month,Yes,1
58,5,35.9,195.65,4,3,North,Month-to-month,Yes,1
59,41,31.1,209.09,1,1,South,One year,Yes,1
53,60,4.8,234.3,4,0,North,Month-to-month,Yes,1
70,6,54.9,281.74,3,1,North,One year,Yes,1
18,16,29.8,112.32,2,0,South,Two year,No,1
35,19,43.9,113.28,0,2,East,One year,No,1
28,58,20.0,337.34,3,0,North,One year,No,0
51,37,29.4,265.95,2,0,North,One year,No,0
54,39,18.1,143.97,5,1,North,Two year,Yes,1
70,47,51.8,173.74,3,0,East,Month-to-month,No,0
40,20,37.0,174.22,1,0,West,Month-to-month,Yes,1
31,52,37.9,188.32,4,2,North,Month-to-month,No,1
71,3,53.7,234.63,5,1,South,Month-to-month,Yes,1
57,9,50.5,451.17,0,1,South,Month-to-month,Yes,1
62,59,44.2,204.92,3,0,South,One year,Yes,1
43,48,9.3,254.57,2,0,North,Month-to-month,No,1
43,13,20.9,10.0,1,3,North,Two year,No,1
40,32,15.9,134.09,0,0,East,Month-to-month,No,1
61,4,43.6,314.03,3,1,South,Month-to-month,Yes,1
30,49,34.7,227.24,7,0,South,Month-to-month,Yes,1
74,55,9.8,10.0,3,1,South,Month-to-month,No,1
28,21,29.0,255.77,3,1,West,Month-to-month,No,1
44,26,8.1,386.41,3,0,East,Month-to-month,Yes,1
36,18,31.1,10.0,7,1,South,Month-to-month,Yes,1
55,29,5.5,344.54,2,2,North,Month-to-month,No,1
57,20,40.5,10.0,2,0,West,Month-to-month,No,1
71,18,38.0,283.49,3,1,West,Month-to-month,Yes,1
63,31,62.5,184.09,2,1,North,Month-to-month,No,1
32,62,45.6,10.0,4,1,West,Month-to-month,No,1
29,55,25.2,231.84,2,2,East,Month-to-month,Yes,1
69,22,45.1,305.84,4,0,North,Month-to-month,Yes,1
46,68,9.6,223.21,1,1,West,Month-to-month,Yes,1
23,16,16.6,246.41,4,0,North,One year,No,1
65,66,37.3,141.77,2,1,North,Two year,Yes,1
55,23,1.0,10.0,3,1,North,Two year,No,1
19,39,31.4,257.65,2,0,South,Month-to-month,Yes,1
63,15,15.7,368.72,4,0,East,Month-to-month,Yes,1
53,55,33.6,303.61,2,2,South,Month-to-month,No,1
53,23,14.8,10.0,0,1,North,One year,No,1
68,63,38.8,25.94,4,1,North,One year,Yes,1
46,6,32.3,96.17,1,2,West,Two year,Yes,0
44,37,54.4,17.74,2,0,West,Two year,Yes,0
53,12,32.1,189.64,2,0,West,Month-to-month,Yes,1
29,65,19.7,226.31,0,0,North,One year,Yes,0
26,31,28.0,34.82,2,1,West,One year,Yes,1
66,49,10.5,266.6,2,2,East,Month-to-month,Yes,0
30,64,38.5,248.12,3,0,East,Two year,No,0
47,39,41.4,127.44,3,0,North,Month-to-month,No,1
33,5,71.5,166.89,2,2,West,Two year,No,1
31,16,22.1,10.0,3,1,South,One year,Yes,1
52,16,27.7,150.11,3,0,North,Month-to-month,Yes,1
64,66,22.8,185.78,5,2,North,One year,Yes,0
43,66,35.4,202.72,3,3,South,Month-to-month,No,1
26,35,38.1,224.78,5,0,North,One year,Yes,0
32,65,31.1,210.65,4,0,South,One year,Yes,0
27,18,49.4,157.24,2,1,South,One year,Yes,0
69,49,22.1,215.05,3,0,West,Two year,No,1
36,29,47.8,290.21,0,0,North,Month-to-month,Yes,1
39,18,40.6,174.97,2,0,East,Month-to-month,Yes,1
22,19,31.8,218.35,1,1,West,Month-to-month,No,1
43,31,27.0,165.45,1,0,West,Month-to-month,Yes,0
71,25,70.8,117.09,2,0,West,Month-to-month,Yes,1
41,16,18.9,239.9,2,2,North,Month-to-month,Yes,1
55,25,36.8,126.7,0,0,West,Month-to-month,No,1
28,10,20.0,225.55,0,0,West,Month-to-month,No,0
26,70,60.6,187.97,2,1,South,Two year,Yes,0
60,28,46.2,153.09,2,2,South,Month-to-month,No,1
21,8,21.1,150.55,0,0,East,Two year,No,0
44,42,40.2,131.65,1,0,South,Month-to-month,Yes,0
36,64,36.1,12.19,1,1,South,Month-to-month,Yes,1
18,26,23.7,225.2,7,1,West,Month-to-month,Yes,1
48,61,44.1,209.31,1,1,West,Month-to-month,No,0
73,44,38.2,274.22,2,0,South,Month-to-month,Yes,0
22,54,35.5,129.2,3,1,West,Month-to-month,No,1
65,22,31.3,384.02,3,0,South,Month-to-month,Yes,1
49,3,38.9,145.13,3,0,West,Month-to-month,No,1
59,25,35.7,93.11,6,1,East,One year,Yes,1
23,67,32.9,80.66,3,3,South,Month-to-month,No,0
68,57,21.7,10.0,1,1,North,One year,Yes,0
18,57,59.1,345.93,2,2,East,Month-to-month,Yes,0
70,64,15.2,328.96,1,0,South,Two year,Yes,0
56,27,38.8,248.08,5,2,North,One year,Yes,0
37,24,26.9,90.91,1,1,North,Two year,Yes,1
18,67,60.2,375.18,4,2,West,Two year,No,0
53,42,17.5,148.07,4,2,North,Month-to-month,Yes,1
23,22,20.2,156.75,2,0,West,Month-to-month,Yes,0
53,21,16.5,335.91,4,0,West,Month-to-month,Yes,1
62,64,37.2,254.19,6,0,North,One year,Yes,0
33,4,10.0,416.12,2,1,East,One year,Yes,1
31,5,24.3,211.12,2,1,East,Month-to-month,Yes,0
30,54,1.0,143.31,1,2,South,Two year,Yes,1
31,1,35.8,120.76,2,1,East,Month-to-month,No,1
24,13,24.0,10.0,10,2,South,One year,Yes,1
32,72,8.2,155.75,5,1,South,One year,No,1
56,31,49.4,305.18,6,1,South,Month-to-month,No,1
35,53,11.1,247.88,1,1,West,One year,No,0
63,36,44.8,187.13,2,0,East,One year,Yes,0
65,7,20.8,80.53,3,2,South,Month-to-month,No,1
62,14,57.6,208.82,1,1,West,Month-to-month,Yes,1
49,55,44.0,291.35,3,1,West,Month-to-month,No,0
36,7,15.9,230.23,5,2,West,One year,Yes,1
71,43,17.3,202.51,2,0,East,Month-to-month,No,1
29,26,41.7,101.32,3,1,South,Two year,No,0
44,27,27.8,276.05,1,0,West,Two year,No,0
44,69,29.3,10.0,3,0,South,Month-to-month,Yes,0
61,44,52.4,225.2,1,3,South,Month-to-month,No,1
49,45,20.0,454.88,3,0,South,One year,Yes,1
64,26,33.5,26.62,1,0,West,One year,No,1
71,28,47.3,159.66,1,0,East,Month-to-month,Yes,1
40,50,44.9,184.17,3,0,South,Month-to-month,No,1
68,3,29.4,136.43,4,0,South,Month-to-month,Yes,1
27,18,27.4,293.82,2,1,South,Two year,Yes,1
71,44,4.2,234.61,2,0,East,Month-to-month,Yes,0
28,45,15.1,200.99,4,0,South,Two year,Yes,1
67,7,37.1,268.71,1,0,East,Month-to-month,Yes,1
40,57,29.8,186.76,2,0,South,Two year,No,0
73,40,33.2,518.89,3,0,South,Month-to-month,No,0
25,18,48.6,200.89,4,0,West,Month-to-month,No,1
44,55,13.0,205.5,2,1,South,Two year,No,0
70,72,28.2,10.0,3,2,North,Two year,Yes,1
20,31,35.0,127.94,4,2,South,Month-to-month,Yes,1
33,21,20.7,305.47,1,0,East,Month-to-month,Yes,0
22,22,54.9,44.78,3,0,North,Month-to-month,Yes,1
36,43,46.5,10.0,4,0,South,Month-to-month,Yes,0
40,4,36.6,188.39,4,0,North,Month-to-month,No,1
53,35,60.7,328.93,0,1,East,Two year,Yes,0
32,2,8.0,189.45,2,2,East,Month-to-month,No,1
27,3,31.9,149.71,1,0,West,One year,Yes,0
27,31,37.9,10.0,3,0,South,Month-to-month,No,1
72,54,17.4,232.49,2,0,West,Month-to-month,Yes,1
73,64,36.8,254.43,2,3,North,One year,No,1
30,7,14.3,10.0,5,2,West,Month-to-month,Yes,1
29,18,43.0,304.13,2,0,East,One year,Yes,1
21,31,48.9,265.4,3,0,West,Month-to-month,Yes,0
73,42,36.4,303.89,5,1,West,Two year,Yes,1
58,72,2.4,246.27,1,1,East,One year,Yes,0
62,50,16.5,253.64,1,1,South,Two year,Yes,1
34,39,41.0,239.68,0,0,East,Month-to-month,Yes,1
55,5,32.3,276.19,7,3,West,Month-to-month,No,1
21,6,1.0,10.0,3,3,West,Month-to-month,Yes,1
57,12,51.9,27.39,3,1,West,Month-to-month,Yes,1
51,48,34.2,107.72,4,2,North,Month-to-month,No,1
37,24,18.9,171.37,5,1,East,Month-to-month,Yes,1
59,18,47.9,225.75,0,0,North,Month-to-month,No,0
55,49,21.2,219.09,2,0,East,Month-to-month,Yes,1
43,59,21.0,302.3,1,0,West,Month-to-month,Yes,0
28,32,37.7,305.59,6,1,North,Month-to-month,Yes,1
19,64,60.5,93.4,6,0,East,Month-to-month,Yes,0
72,53,58.0,210.05,4,2,West,One year,Yes,0
34,52,37.8,95.98,1,0,West,Month-to-month,No,0
35,63,39.4,165.23,4,1,South,Month-to-month,Yes,1
57,14,44.7,218.79,3,1,North,Month-to-month,No,1
32,55,11.9,10.0,1,0,West,One year,Yes,0
39,69,42.3,438.18,3,1,West,Month-to-month,Yes,1
59,72,20.3,244.47,3,1,East,One year,No,0
52,42,37.1,122.45,1,0,West,Two year,No,0
56,55,28.4,387.37,6,0,North,Month-to-month,Yes,1
18,64,40.0,148.52,5,1,East,Two year,Yes,1
44,62,33.9,198.91,4,0,North,One year,Yes,0
45,65,1.0,133.85,2,0,West,Month-to-month,Yes,0
54,60,34.9,358.46,3,1,East,Month-to-month,No,1
26,28,42.3,173.98,1,2,West,One year,Yes,1
27,53,39.1,200.7,2,1,East,Two year,No,0
62,30,30.4,311.4,1,2,North,Month-to-month,Yes,1
57,58,58.3,246.44,0,1,North,Month-to-month,Yes,0
65,59,37.0,179.29,1,1,South,One year,Yes,1
33,68,39.0,301.59,5,1,East,Month-to-month,Yes,1
75,43,48.7,451.54,1,2,North,One year,Yes,1
33,35,37.8,218.33,3,1,West,Month-to-month,No,1
55,12,17.6,197.26,4,2,North,One year,No,1
27,46,1.0,202.92,3,0,South,Two year,No,1
71,41,24.4,322.6,4,0,North,One year,Yes,1
37,38,44.2,122.08,3,0,South,One year,No,1
64,49,26.4,155.78,6,1,South,One year,No,1
37,62,44.8,23.57,4,0,North,Two year,No,0
63,11,34.4,60.69,2,1,East,Two year,Yes,1
44,32,52.6,130.63,2,0,West,Month-to-month,Yes,1
21,53,27.3,179.13,4,2,West,One year,No,0
29,60,39.5,370.75,4,2,South,Month-to-month,Yes,0
57,57,40.1,241.28,3,1,West,Two year,Yes,1
29,58,56.0,89.23,1,0,West,One year,Yes,1
33,62,4.7,108.56,5,2,West,Month-to-month,Yes,1
49,70,24.7,329.35,1,1,South,Month-to-month,Yes,1
32,44,45.6,303.29,4,0,West,Month-to-month,No,1
25,18,56.7,187.96,3,0,East,One year,No,0
54,41,35.8,138.53,1,0,North,Month-to-month,Yes,1
57,52,27.3,303.12,2,0,South,Month-to-month,Yes,1
60,8,44.1,80.7,4,0,East,Two year,No,1
72,55,45.9,226.16,1,1,North,One year,Yes,0
25,40,26.2,423.63,1,0,South,Month-to-month,Yes,0
42,68,37.3,206.56,8,1,West,Month-to-month,Yes,1
31,16,50.9,103.56,2,1,North,Two year,Yes,0
70,66,62.2,228.09,2,0,South,One year,No,0
49,33,43.9,135.65,2,0,North,One year,Yes,0
23,42,32.7,38.62,3,1,East,Month-to-month,No,0
58,48,31.1,258.61,0,1,North,Month-to-month,Yes,0
20,42,40.9,302.37,3,1,West,Month-to-month,No,1
33,66,30.1,152.35,3,1,North,One year,No,1
59,13,35.0,145.39,1,2,West,Month-to-month,Yes,1
47,53,15.1,84.04,6,0,West,Month-to-month,Yes,0
62,71,52.8,169.26,2,0,West,One year,Yes,0
51,16,13.8,125.95,5,1,West,Two year,No,1
66,19,25.1,78.84,3,1,North,One year,No,1
50,35,33.6,383.68,3,1,West,Month-to-month,Yes,1
21,53,63.9,233.98,3,0,East,Month-to-month,Yes,0
22,70,25.2,245.1,2,0,West,Month-to-month,No,1
63,58,21.3,277.76,4,1,West,Month-to-month,No,1
20,58,23.2,265.96,4,2,East,Month-to-month,Yes,1
39,32,58.5,141.62,5,1,South,Month-to-month,Yes,0
18,47,1.0,213.62,4,4,North,One year,Yes,1
35,16,16.0,156.75,3,1,North,Two year,No,1
52,34,75.7,231.04,4,1,South,Two year,Yes,1
28,14,41.5,220.88,1,0,West,Month-to-month,No,1
45,2,14.3,144.82,5,0,East,Month-to-month,Yes,1
75,62,31.3,45.42,1,0,South,Month-to-month,Yes,0
22,58,33.1,200.35,3,0,North,Month-to-month,Yes,0
21,37,45.5,163.55,3,0,East,Month-to-month,No,1
33,2,61.4,10.0,2,2,East,Month-to-month,Yes,1
65,7,38.2,238.3,2,1,West,One year,No,1
41,9,23.4,286.36,3,1,East,Month-to-month,Yes,1
55,52,44.6,450.48,0,1,East,Two year,No,1
19,15,20.8,143.92,5,0,West,Month-to-month,No,1
60,19,15.5,128.44,3,1,South,Month-to-month,No,1
21,62,3.8,68.51,4,1,West,Month-to-month,Yes,0
59,64,7.0,206.91,2,1,South,Month-to-month,No,1
26,55,17.7,206.24,4,0,North,Month-to-month,Yes,1
67,23,13.2,99.81,0,0,South,Two year,Yes,1
35,42,37.0,166.63,2,0,North,Month-to-month,No,1
28,15,12.8,10.0,4,0,North,Month-to-month,No,1
37,62,1.0,282.27,3,0,West,One year,Yes,1
18,7,15.3,104.08,0,0,West,Month-to-month,No,1
27,54,24.5,181.36,4,1,North,One year,Yes,0
52,37,22.3,35.2,2,2,West,Month-to-month,No,1
35,55,56.3,123.85,5,2,North,One year,No,0
38,33,22.2,155.64,3,0,South,Month-to-month,No,1
64,12,46.1,183.81,3,1,East,Month-to-month,No,1
25,55,31.7,235.37,6,4,South,One year,No,1
40,46,31.3,336.1,1,2,East,Two year,No,0
28,34,18.6,261.93,4,1,West,Month-to-month,Yes,1
46,27,31.1,286.03,1,0,North,One year,Yes,0
37,25,19.8,336.84,4,0,North,Month-to-month,No,1
20,35,34.7,244.82,4,1,West,Month-to-month,Yes,1
22,19,28.2,181.15,4,0,East,Month-to-month,No,1
67,21,16.9,290.96,7,0,East,One year,Yes,1
21,21,47.9,297.67,4,3,South,Month-to-month,No,1
63,1,38.8,253.1,3,0,South,One year,Yes,1
71,67,24.8,32.26,4,1,East,Month-to-month,No,1
45,18,34.3,96.65,3,2,East,Two year,No,1
36,12,30.7,156.14,0,0,North,Two year,Yes,1
63,11,18.1,266.86,3,0,East,Month-to-month,No,1
74,72,33.1,182.76,2,1,East,Month-to-month,Yes,1
24,35,22.1,304.37,3,2,North,Month-to-month,No,1
73,24,16.9,323.1,3,0,South,Two year,No,1
72,30,6.0,310.91,3,1,West,Month-to-month,Yes,1
26,7,26.3,311.58,4,1,East,Month-to-month,Yes,1
21,23,41.1,76.12,3,1,North,Month-to-month,Yes,1
59,18,20.9,235.68,5,0,North,One year,Yes,1
22,58,72.3,121.21,1,2,East,Month-to-month,No,0
52,5,46.2,11.85,3,2,South,Month-to-month,Yes,1
21,31,52.9,154.82,1,0,West,Two year,No,0
58,57,44.7,324.1,2,1,East,Month-to-month,No,1
31,61,61.6,233.38,3,1,West,Two year,No,0
23,37,19.4,396.87,1,0,North,Month-to-month,Yes,0
21,17,1.0,203.61,1,0,South,Month-to-month,Yes,1
28,25,24.9,442.02,6,2,North,Two year,No,1
49,17,40.9,203.64,5,0,East,One year,No,1
22,48,34.4,187.36,6,0,North,One year,No,0
64,22,36.4,50.66,1,0,South,Month-to-month,Yes,1
53,46,53.1,301.61,2,1,South,Month-to-month,Yes,1
35,48,38.1,132.28,3,0,North,Month-to-month,No,0
75,68,44.8,117.06,3,0,North,Month-to-month,No,1
56,27,17.0,319.53,1,1,East,Month-to-month,Yes,1
56,70,14.5,306.61,3,1,West,Month-to-month,No,1
28,29,57.8,303.87,3,2,North,Month-to-month,Yes,1
59,50,33.6,146.97,1,1,South,Month-to-month,Yes,1
50,48,22.0,179.65,2,2,North,Month-to-month,Yes,1
75,59,22.1,178.72,1,0,West,Month-to-month,Yes,0
45,34,21.6,267.16,2,0,South,Two year,Yes,1
57,58,20.7,348.12,5,1,West,One year,Yes,0
37,26,11.5,223.66,4,0,North,Month-to-month,Yes,1
20,36,8.0,392.36,3,0,North,One year,Yes,0
25,36,28.9,279.21,3,1,East,Two year,Yes,0
68,51,22.5,160.35,2,2,East,Month-to-month,Yes,1
60,45,49.7,272.01,3,0,West,Month-to-month,No,1
39,6,36.7,364.12,1,0,West,Month-to-month,No,1
58,59,36.2,394.82,4,0,West,Month-to-month,Yes,0
18,55,20.1,309.62,1,1,East,One year,Yes,0
20,8,30.1,187.7,3,0,South,Two year,No,1
47,70,37.8,162.25,2,2,South,Month-to-month,No,1
54,48,43.5,245.49,2,1,North,One year,No,0
72,7,30.5,360.77,1,2,South,Month-to-month,No,1
62,36,49.3,230.55,2,0,South,One year,No,0
32,61,32.1,232.73,1,0,North,One year,No,1
65,21,44.7,190.4,1,1,North,Month-to-month,Yes,1
46,68,24.2,150.57,4,1,East,Month-to-month,No,1
65,31,3.0,167.98,2,0,South,One year,No,1
28,17,36.3,199.22,3,0,West,Two year,No,1
19,26,43.6,365.4,2,0,South,Month-to-month,Yes,1
21,38,41.2,159.83,4,0,West,Month-to-month,Yes,1
75,50,38.8,190.52,2,2,East,Month-to-month,Yes,1
22,67,26.4,94.14,6,1,North,One year,Yes,1
72,15,19.1,260.25,2,1,North,One year,No,1
60,70,40.8,328.5,1,1,East,One year,No,0
26,38,38.8,355.57,1,0,East,One year,Yes,0
68,10,23.0,206.35,5,1,South,Two year,No,1
26,67,49.8,245.31,2,1,East,One year,Yes,0
26,26,17.9,168.88,5,1,West,Month-to-month,Yes,1
51,45,22.7,240.44,1,2,South,One year,Yes,1
34,51,58.2,217.97,4,0,North,Month-to-month,Yes,1
34,1,45.9,191.12,2,1,South,Month-to-month,No,1
29,16,26.3,199.46,4,1,West,Two year,No,1
53,50,36.6,232.45,3,2,West,One year,No,0
19,24,34.5,154.11,4,0,West,Two year,Yes,0
32,1,1.0,159.54,4,0,West,Month-to-month,No,1
50,2,17.5,364.27,2,1,North,Month-to-month,Yes,1
46,60,31.2,469.61,8,1,South,Month-to-month,Yes,1
58,12,26.3,58.54,2,1,North,Month-to-month,Yes,1
30,8,36.0,52.76,3,0,North,Month-to-month,No,1
55,41,50.1,84.5,2,0,West,Month-to-month,No,1
62,9,26.9,174.15,0,1,West,Month-to-month,Yes,1
40,48,15.1,279.06,3,0,North,Two year,No,0
32,40,37.2,247.08,3,0,East,Month-to-month,Yes,1
50,47,26.8,203.06,3,2,East,Month-to-month,Yes,1
51,36,29.5,240.54,1,0,North,One year,No,0
23,57,27.3,112.33,1,0,West,Month-to-month,No,1
50,47,67.9,159.37,3,0,West,Two year,No,1
26,30,1.0,182.89,8,2,East,One year,No,1
50,2,25.8,18.66,2,2,East,Month-to-month,Yes,1
72,20,31.9,63.06,1,1,South,One year,No,1
49,10,19.5,67.24,6,0,West,One year,No,1
62,2,46.4,265.23,3,1,South,One year,Yes,1
35,20,45.0,210.76,3,1,West,One year,Yes,1
71,15,31.2,249.16,1,0,North,One year,Yes,0
65,6,27.7,10.0,3,2,North,One year,No,1
71,23,30.2,29.23,5,0,West,Month-to-month,No,1
61,37,30.3,254.64,5,0,South,One year,No,1
55,13,30.7,10.0,0,1,South,Two year,Yes,1
48,20,29.0,313.59,4,2,West,One year,Yes,1
71,2,36.0,10.0,2,1,North,One year,Yes,1
67,4,44.1,273.55,3,3,East,Month-to-month,Yes,1
42,12,12.3,91.7,3,1,South,One year,Yes,1
22,33,15.2,295.13,5,3,North,Two year,Yes,1
18,48,4.0,521.86,2,0,West,Month-to-month,Yes,0
31,57,45.9,10.0,3,2,North,Month-to-month,Yes,0
21,46,36.0,258.01,3,0,North,Month-to-month,No,1
30,45,40.1,10.0,3,2,East,Month-to-month,Yes,1
24,68,9.1,229.81,1,0,West,One year,Yes,0
74,19,60.6,163.29,0,1,North,Month-to-month,Yes,1
23,58,22.3,198.63,2,1,East,Month-to-month,No,1
54,68,34.7,89.27,1,1,East,One year,No,0
38,41,45.7,266.96,1,3,West,One year,No,1
28,61,16.2,32.92,4,2,North,One year,No,1
58,10,23.3,315.37,1,1,West,One year,No,1
74,64,34.9,142.03,3,0,East,One year,No,1
63,41,77.7,37.72,1,1,West,One year,Yes,0
74,16,36.8,352.47,2,2,South,One year,Yes,1
52,5,57.7,177.93,0,0,West,Month-to-month,Yes,1
57,52,51.3,385.3,6,1,East,One year,Yes,1
26,32,37.9,313.24,0,1,North,Month-to-month,Yes,1
67,23,16.2,101.19,5,1,West,Month-to-month,Yes,1
61,29,49.0,176.08,3,1,West,Month-to-month,Yes,0
32,72,8.0,197.71,4,0,South,Two year,Yes,1
38,31,57.6,345.26,1,0,East,One year,Yes,1
53,6,35.2,230.94,4,1,South,Month-to-month,Yes,1
18,21,1.0,203.51,1,0,East,One year,Yes,0
65,11,26.6,164.01,3,0,West,Month-to-month,Yes,1
34,50,42.5,179.69,1,0,West,One year,No,0
22,58,28.2,321.98,4,0,North,One year,Yes,0
37,61,43.4,185.39,1,1,West,One year,Yes,1
66,46,18.4,143.53,1,1,South,One year,Yes,1
33,56,11.1,125.73,1,1,East,Month-to-month,Yes,0
49,31,30.9,126.85,3,2,West,Month-to-month,Yes,1
65,46,32.5,37.78,3,1,South,Two year,Yes,0
19,8,26.4,106.21,3,1,South,One year,Yes,1
62,39,51.6,342.33,2,0,South,Month-to-month,No,0
34,41,18.4,163.31,2,0,West,Month-to-month,No,1
58,3,37.0,258.96,3,0,South,Month-to-month,Yes,0
28,40,33.1,10.0,3,1,South,Month-to-month,Yes,1
26,53,7.1,244.67,7,1,South,Month-to-month,No,1
63,27,10.9,168.06,3,1,North,Month-to-month,Yes,1
64,40,32.2,134.45,5,1,South,Two year,No,1
74,21,63.7,204.0,3,0,North,Month-to-month,Yes,0
57,20,41.3,132.94,3,0,North,Month-to-month,Yes,1
45,10,4.4,10.0,3,1,East,Month-to-month,Yes,1
29,24,1.0,281.84,0,2,North,Month-to-month,No,1
35,58,43.7,210.52,3,0,East,One year,No,0
55,68,30.5,152.04,2,0,West,Month-to-month,No,1
38,46,50.3,83.55,4,0,East,One year,Yes,1
46,45,17.9,30.66,2,1,South,One year,No,1
27,45,37.6,208.51,5,0,North,Month-to-month,Yes,0
43,35,45.5,354.41,0,0,West,One year,Yes,0
31,31,24.8,206.33,4,1,West,Two year,No,1
24,45,25.2,39.81,6,2,East,Month-to-month,No,1
25,57,32.4,208.64,3,1,North,Month-to-month,Yes,0
48,30,40.7,179.4,2,2,North,Two year,Yes,1
39,41,31.8,275.72,0,1,South,Two year,Yes,1
23,34,47.6,248.71,2,2,North,Month-to-month,Yes,1
47,21,24.6,10.0,2,0,West,One year,Yes,1
27,21,10.7,242.25,3,1,North,Month-to-month,No,1
18,6,63.6,79.63,3,0,South,One year,Yes,1
25,32,22.3,35.72,1,0,West,Month-to-month,No,1
44,52,22.9,165.21,7,0,West,Month-to-month,Yes,1
73,50,30.9,228.15,2,1,North,One year,Yes,0
32,71,33.1,12.72,1,1,South,Two year,Yes,0
34,3,25.8,258.98,2,0,East,One year,Yes,1
32,55,31.7,265.15,4,0,East,Month-to-month,Yes,1
38,58,31.4,189.93,0,1,West,Month-to-month,No,0
59,32,34.8,93.9,1,0,West,Two year,No,1
36,21,1.0,82.17,3,0,West,Two year,Yes,1
56,26,62.1,292.72,2,0,North,Month-to-month,Yes,1
70,50,29.6,26.32,2,0,North,One year,No,1
72,63,41.3,296.77,4,0,East,Month-to-month,Yes,1
50,47,10.0,167.65,3,1,North,Month-to-month,No,1
59,38,24.5,174.94,2,0,South,Month-to-month,No,1
71,47,21.2,10.0,5,2,North,Month-to-month,No,1
63,6,55.5,169.59,6,2,West,Month-to-month,Yes,1
35,44,22.6,249.43,4,0,North,Two year,No,1
25,4,44.1,44.68,4,3,North,Month-to-month,Yes,1
24,70,21.6,237.36,0,1,North,Month-to-month,Yes,0
69,65,24.8,194.35,3,2,North,Month-to-month,No,1
50,37,28.1,117.41,0,0,East,Month-to-month,Yes,0
35,27,52.5,274.74,6,2,South,Month-to-month,No,1
38,53,1.8,10.0,4,1,West,One year,Yes,1
34,46,10.9,221.4,1,0,South,Month-to-month,Yes,0
64,51,1.0,355.04,3,0,East,One year,No,1
53,38,14.6,336.19,3,1,East,Two year,No,1
69,18,19.0,225.93,3,1,East,Month-to-month,Yes,1
35,6,6.2,153.32,5,2,West,Two year,No,1
45,21,20.3,118.24,2,0,North,Two year,Yes,1
25,39,1.0,153.19,3,0,East,One year,No,1
74,31,15.7,242.1,0,0,West,One year,No,1
47,37,51.2,100.24,2,2,West,One year,No,1
50,20,38.5,264.53,6,1,East,One year,Yes,1
41,68,35.0,408.98,4,0,East,One year,Yes,0
33,27,16.0,178.5,2,0,West,Month-to-month,No,0
73,61,7.4,43.84,4,0,East,Two year,Yes,0
46,29,13.8,43.8,1,1,West,One year,Yes,1
57,32,31.3,266.54,1,1,North,One year,No,1
20,44,45.9,178.73,1,1,South,Month-to-month,No,1
34,19,46.4,277.07,0,1,North,Month-to-month,No,1
64,16,42.1,128.97,2,0,North,Month-to-month,No,1
23,28,20.2,272.22,2,0,South,Month-to-month,No,1
23,58,32.4,168.38,4,1,North,Month-to-month,Yes,0
64,11,26.9,108.09,1,0,South,Month-to-month,No,1
